"ch"	"sex"	"initial.age"	"lowtag"	"perm"
"1"	"0,++,0,0,0,0,0,0,0,0,0,0"	"F"	2	"/*14651*/"	"yes"
"2"	"0,++,+-,0,0,0,0,0,0,0,0,0"	"M"	6	"/*14652*/"	"yes"
"3"	"0,++,0,0,0,0,0,0,0,0,0,0"	"M"	2	"/*14654*/"	"yes"
"4"	"0,++,0,0,0,0,0,0,0,0,0,0"	"F"	2	"/*14656*/"	"yes"
"5"	"0,++,0,0,0,0,0,0,0,0,0,0"	"M"	2	"/*14658*/"	"yes"
"6"	"0,++,0,0,++,++,0,0,0,0,0,0"	"F"	19	"/*14660*/"	"yes"
"7"	"0,++,0,0,0,0,0,0,0,0,0,0"	"M"	12	"/*14662*/"	"yes"
"8"	"0,++,++,0,0,0,0,0,0,0,0,0"	"F"	1	"/*14664*/"	"yes"
"9"	"0,++,0,0,0,0,0,0,0,0,0,0"	"M"	1	"/*14665*/"	"yes"
"10"	"0,++,0,0,0,++,0,0,0,0,0,0"	"F"	7	"/*14668*/"	"no"
"11"	"0,++,0,0,0,0,0,0,0,0,0,0"	"M"	2	"/*14670*/"	"yes"
"12"	"0,++,0,0,0,0,0,0,0,0,0,0"	"F"	9	"/*14672*/"	"yes"
"13"	"0,++,0,0,0,0,0,0,0,0,++,0"	"F"	2	"/*14674*/"	"yes"
"14"	"0,0,0,++,0,0,0,0,0,0,0,0"	"F"	2	"/*14678*/"	"yes"
"15"	"0,++,0,0,0,0,0,0,0,0,0,0"	"M"	2	"/*18820*/"	"yes"
"16"	"0,0,0,++,0,0,0,0,0,0,0,0"	"M"	1	"/*18993*/"	"yes"
"17"	"0,++,0,0,0,0,0,0,0,0,0,0"	"M"	5	"/*19231*/"	"yes"
"18"	"++,++,0,0,0,0,0,0,0,0,0,0"	"M"	2	"/*19237*/"	"yes"
"19"	"++,0,0,0,0,0,0,0,0,0,0,0"	"F"	1	"/*19239*/"	"yes"
"20"	"0,0,0,++,0,0,0,0,0,0,0,0"	"F"	5	"/*19338*/"	"yes"
"21"	"0,0,0,0,0,0,0,++,0,0,0,0"	"M"	5	"/*19924*/"	"yes"
"22"	"0,0,++,0,0,0,0,0,0,0,0,0"	"M"	1	"/*21124*/"	"yes"
"23"	"0,++,0,0,0,0,0,0,0,0,0,0"	"F"	5	"/*21127*/"	"yes"
"24"	"0,0,++,0,0,0,+-,0,0,0,0,--"	"F"	4	"/*21134*/"	"yes"
"25"	"0,0,++,0,0,0,0,0,0,0,0,0"	"M"	10	"/*21136*/"	"yes"
"26"	"0,++,0,++,0,0,0,0,0,0,0,0"	"F"	2	"/*21139*/"	"yes"
"27"	"0,++,++,0,0,0,0,0,0,0,0,0"	"F"	1	"/*21141*/"	"yes"
"28"	"0,++,0,0,0,0,0,0,0,0,0,0"	"F"	2	"/*21143*/"	"yes"
